time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.203935,0.825,0.000517803,0.75,-0.5,1.43311,-1.1804,0.15,-0.924758
0.1,0.203951,0.825001,0.000494649,0.75,-0.5,1.43311,-1.18039,0.15,-0.924753
0.15,0.203951,0.825001,0.000494649,0.75,-0.5,1.43311,-1.18039,0.15,-0.924753
0.2,0.20414,0.824977,-0.0216729,0.75,-0.5,1.43301,-1.15834,0.15,-0.916137
0.25,0.20414,0.824977,-0.0216729,0.75,-0.5,1.43301,-1.15834,0.15,-0.916137
0.3,0.205268,0.824998,-0.0458704,0.75,-0.5,1.4326,-1.13487,0.15,-0.90648
0.35,0.205268,0.824998,-0.0458704,0.75,-0.5,1.4326,-1.13487,0.15,-0.90648
0.4,0.207233,0.824996,-0.0694799,0.75,-0.5,1.43186,-1.11253,0.15,-0.896821
0.45,0.207233,0.824996,-0.0694799,0.75,-0.5,1.43186,-1.11253,0.15,-0.896821
0.5,0.216646,0.82348,-0.11694,0.75,-0.5,1.42691,-1.07077,0.15,-0.877571
0.55,0.216646,0.82348,-0.11694,0.75,-0.5,1.42691,-1.07077,0.15,-0.877571
0.6,0.226264,0.822072,-0.175175,0.75,-0.5,1.42203,-1.01844,0.15,-0.851291
0.65,0.226264,0.822072,-0.175175,0.75,-0.5,1.42203,-1.01844,0.15,-0.851291
0.7,0.232308,0.821971,-0.226294,0.75,-0.5,1.41972,-0.971252,0.15,-0.825593
0.75,0.232308,0.821971,-0.226294,0.75,-0.5,1.41972,-0.971252,0.15,-0.825593
0.8,0.239513,0.819908,-0.269743,0.75,-0.5,1.41519,-0.932013,0.15,-0.802822
0.85,0.239513,0.819908,-0.269743,0.75,-0.5,1.41519,-0.932013,0.15,-0.802822
0.9,0.24662,0.817784,-0.3067,0.75,-0.5,1.41065,-0.899212,0.15,-0.782837
0.95,0.24662,0.817784,-0.3067,0.75,-0.5,1.41065,-0.899212,0.15,-0.782837
1,0.253736,0.815365,-0.343642,0.75,-0.5,1.40587,-0.866384,0.15,-0.761992
1.05,0.260671,0.812717,-0.379768,0.75,-0.5,1.40095,-0.834222,0.15,-0.740774
1.1,0.260671,0.812717,-0.379768,0.75,-0.5,1.40095,-0.834222,0.15,-0.740774
1.15,0.267518,0.809826,-0.415896,0.75,-0.5,1.39586,-0.801968,0.15,-0.718726
1.2,0.267518,0.809826,-0.415896,0.75,-0.5,1.39586,-0.801968,0.15,-0.718726
1.25,0.267518,0.809826,-0.415896,0.75,-0.5,1.39586,-0.801968,0.15,-0.718726
1.3,0.274262,0.806688,-0.450902,0.75,-0.5,1.3906,-0.770732,0.15,-0.696661
1.35,0.274262,0.806688,-0.450902,0.75,-0.5,1.3906,-0.770732,0.15,-0.696661
1.4,0.280922,0.803301,-0.48411,0.75,-0.5,1.38515,-0.741206,0.15,-0.675178
1.45,0.280922,0.803301,-0.48411,0.75,-0.5,1.38515,-0.741206,0.15,-0.675178
1.5,0.287489,0.799683,-0.516536,0.75,-0.5,1.37953,-0.71237,0.15,-0.653629
1.55,0.287489,0.799683,-0.516536,0.75,-0.5,1.37953,-0.71237,0.15,-0.653629
1.6,0.293913,0.795869,-0.548,0.75,-0.5,1.37379,-0.684381,0.15,-0.632194
1.65,0.293913,0.795869,-0.548,0.75,-0.5,1.37379,-0.684381,0.15,-0.632194
1.7,0.300184,0.791886,-0.578516,0.75,-0.5,1.36796,-0.657223,0.15,-0.610921
1.75,0.300184,0.791886,-0.578516,0.75,-0.5,1.36796,-0.657223,0.15,-0.610921
1.8,0.306345,0.787718,-0.607997,0.75,-0.5,1.362,-0.631007,0.15,-0.589959
1.85,0.306345,0.787718,-0.607997,0.75,-0.5,1.362,-0.631007,0.15,-0.589959
