t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
2,0.453783,0.82497,-0.00108329,0.230035,1.21687,-0.600591,0.229991,0.433437,0.601217,-0.714565,0.0805487,0.483635
2.05,0.453786,0.824969,-0.00112509,0.231204,1.21604,-0.628777,0.231195,0.434294,0.629629,-0.707931,0.0841284,0.502972
2.1,0.453786,0.824969,-0.00112509,0.231204,1.21604,-0.628777,0.231195,0.434294,0.629629,-0.707931,0.0841284,0.502972
2.15,0.453786,0.824969,-0.00112509,0.231204,1.21604,-0.628777,0.231195,0.434294,0.629629,-0.707931,0.0841284,0.502972
2.2,0.453767,0.824969,-0.00116478,0.232323,1.21519,-0.655887,0.232321,0.435149,0.65715,-0.701413,0.0877982,0.52111
2.25,0.453767,0.824969,-0.00116478,0.232323,1.21519,-0.655887,0.232321,0.435149,0.65715,-0.701413,0.0877982,0.52111
2.3,0.45376,0.824969,-0.00120527,0.233387,1.21435,-0.682145,0.233403,0.436015,0.683825,-0.694972,0.0915764,0.538149
2.35,0.45376,0.824969,-0.00120527,0.233387,1.21435,-0.682145,0.233403,0.436015,0.683825,-0.694972,0.0915764,0.538149
2.4,0.45376,0.824969,-0.00120527,0.233387,1.21435,-0.682145,0.233403,0.436015,0.683825,-0.694972,0.0915764,0.538149
2.45,0.453764,0.824969,-0.00124459,0.234377,1.21352,-0.707585,0.23443,0.436883,0.709691,-0.688589,0.0954682,0.554163
2.5,0.453764,0.824969,-0.00124459,0.234377,1.21352,-0.707585,0.23443,0.436883,0.709691,-0.688589,0.0954682,0.554163
2.55,0.453777,0.824968,-0.00128293,0.235356,1.21265,-0.732313,0.235422,0.437765,0.734818,-0.682253,0.0994657,0.569259
2.6,0.453777,0.824968,-0.00128293,0.235356,1.21265,-0.732313,0.235422,0.437765,0.734818,-0.682253,0.0994657,0.569259
2.65,0.453761,0.824968,-0.00132165,0.236242,1.21183,-0.755202,0.236321,0.43861,0.758492,-0.675961,0.10356,0.582574
2.7,0.453761,0.824968,-0.00132165,0.236242,1.21183,-0.755202,0.236321,0.43861,0.758492,-0.675961,0.10356,0.582574
2.75,0.453756,0.824968,-0.00136203,0.237109,1.21098,-0.778181,0.237195,0.439469,0.782125,-0.669708,0.107743,0.595885
2.8,0.453756,0.824968,-0.00136203,0.237109,1.21098,-0.778181,0.237195,0.439469,0.782125,-0.669708,0.107743,0.595885
2.85,0.453756,0.824968,-0.00136203,0.237109,1.21098,-0.778181,0.237195,0.439469,0.782125,-0.669708,0.107743,0.595885
2.9,0.453764,0.824967,-0.0014015,0.237974,1.2101,-0.800523,0.238063,0.440357,0.80515,-0.663546,0.11199,0.608404
2.95,0.453764,0.824967,-0.0014015,0.237974,1.2101,-0.800523,0.238063,0.440357,0.80515,-0.663546,0.11199,0.608404
3,0.453753,0.824967,-0.00144785,0.238788,1.20925,-0.822359,0.23887,0.441229,0.827447,-0.657431,0.116311,0.620172
3.05,0.453753,0.824967,-0.00144785,0.238788,1.20925,-0.822359,0.23887,0.441229,0.827447,-0.657431,0.116311,0.620172
