time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.279036,0.524992,-0.00222124,0.75,1,0.668909,0.791895,0.200673,0.427012
0.1,0.279036,0.524992,-0.00222124,0.75,1,0.668909,0.791895,0.200673,0.427012
0.15,0.278662,0.524916,0.00547787,0.75,1,0.669226,0.783879,0.200768,0.423619
0.2,0.28845,0.525577,0.0715882,0.75,1,0.661895,0.727563,0.198569,0.399031
0.25,0.321364,0.530053,0.269694,0.75,1,0.636065,0.561646,0.19082,0.319548
0.3,0.321364,0.530053,0.269694,0.75,1,0.636065,0.561646,0.19082,0.319548
0.35,0.349328,0.538751,0.315299,0.75,1,0.610973,0.540266,0.183292,0.308618
0.4,0.37632,0.548143,0.354726,0.75,1,0.586355,0.525089,0.175906,0.300774
0.45,0.401553,0.558045,0.392638,0.75,1,0.562796,0.510518,0.168839,0.293178
0.5,0.401553,0.558045,0.392638,0.75,1,0.562796,0.510518,0.168839,0.293178
0.55,0.425024,0.568289,0.429256,0.75,1,0.540355,0.496273,0.162106,0.285691
0.6,0.447556,0.57911,0.465313,0.75,1,0.518286,0.482395,0.155486,0.278341
0.65,0.468444,0.590064,0.500099,0.75,1,0.497314,0.468866,0.149194,0.271125
0.7,0.468444,0.590064,0.500099,0.75,1,0.497314,0.468866,0.149194,0.271125
0.75,0.488112,0.601277,0.533903,0.75,1,0.477038,0.455742,0.143111,0.264077
0.8,0.506927,0.612842,0.567082,0.75,1,0.457138,0.443076,0.137142,0.257232
0.85,0.524574,0.62449,0.59946,0.75,1,0.437978,0.430682,0.131393,0.250494
0.9,0.524574,0.62449,0.59946,0.75,1,0.437978,0.430682,0.131393,0.250494
0.95,0.540846,0.636,0.630753,0.75,1,0.419811,0.418511,0.125943,0.24384
1,0.556577,0.647887,0.661773,0.75,1,0.401741,0.406702,0.120522,0.23735
1.05,0.571082,0.659536,0.691577,0.75,1,0.384613,0.395372,0.115384,0.231091
1.1,0.571082,0.659536,0.691577,0.75,1,0.384613,0.395372,0.115384,0.231091
1.15,0.584403,0.670884,0.720453,0.75,1,0.368429,0.384174,0.110529,0.224876
1.2,0.597072,0.682336,0.748692,0.75,1,0.352559,0.373435,0.105768,0.218889
1.25,0.608875,0.693616,0.776234,0.75,1,0.337324,0.362917,0.101197,0.213002
1.3,0.608875,0.693616,0.776234,0.75,1,0.337324,0.362917,0.101197,0.213002
1.35,0.619693,0.70453,0.803032,0.75,1,0.322928,0.352408,0.0968783,0.207095
1.4,0.629915,0.715407,0.829062,0.75,1,0.308891,0.342448,0.0926672,0.201476
1.45,0.639282,0.72589,0.853831,0.75,1,0.295626,0.333087,0.0886877,0.196177
1.5,0.639282,0.72589,0.853831,0.75,1,0.295626,0.333087,0.0886877,0.196177
1.55,0.648011,0.736151,0.877867,0.75,1,0.282874,0.324075,0.0848623,0.191059
1.6,0.656266,0.746339,0.901575,0.75,1,0.270426,0.31526,0.0811277,0.186038
1.65,0.663772,0.756086,0.924644,0.75,1,0.258707,0.306349,0.0776122,0.180948
1.7,0.663772,0.756086,0.924644,0.75,1,0.258707,0.306349,0.0776122,0.180948
1.75,0.67075,0.765562,0.947071,0.75,1,0.247471,0.297741,0.0742412,0.176017
1.8,0.677352,0.774955,0.969037,0.75,1,0.23648,0.289504,0.0709441,0.171286
1.85,0.683337,0.783885,0.990533,0.75,1,0.226163,0.281063,0.067849,0.166426
1.9,0.683337,0.783885,0.990533,0.75,1,0.226163,0.281063,0.067849,0.166426
1.95,0.688893,0.792568,1.01122,0.75,1,0.216246,0.273089,0.0648738,0.161824
2,0.694127,0.801127,1.03149,0.75,1,0.206573,0.265425,0.0619718,0.157391
2.05,0.698865,0.809229,1.05106,0.75,1,0.197506,0.257851,0.0592517,0.153002
2.1,0.698865,0.809229,1.05106,0.75,1,0.197506,0.257851,0.0592517,0.153002
2.15,0.703241,0.817063,1.07016,0.75,1,0.188818,0.250394,0.0566454,0.148671
2.2,0.707377,0.8248,1.08871,0.75,1,0.180311,0.243443,0.0540932,0.144627
2.25,0.711116,0.832115,1.10655,0.75,1,0.172329,0.236654,0.0516988,0.140671
2.3,0.711116,0.832115,1.10655,0.75,1,0.172329,0.236654,0.0516988,0.140671
2.35,0.714569,0.839172,1.12389,0.75,1,0.164685,0.230066,0.0494054,0.136825
2.4,0.717851,0.846181,1.14105,0.75,1,0.157143,0.223706,0.0471429,0.133107
2.45,0.720837,0.852848,1.1576,0.75,1,0.150014,0.217548,0.0450043,0.129502
2.5,0.723574,0.859237,1.17369,0.75,1,0.143222,0.211531,0.0429665,0.125974
2.55,0.723574,0.859237,1.17369,0.75,1,0.143222,0.211531,0.0429665,0.125974
2.6,0.726036,0.865246,1.1892,0.75,1,0.136868,0.205604,0.0410604,0.122495
2.65,0.72838,0.871228,1.20455,0.75,1,0.130575,0.199905,0.0391724,0.119146
2.7,0.730513,0.876922,1.21936,0.75,1,0.124611,0.194415,0.0373833,0.115915
2.75,0.732456,0.8823,1.23392,0.75,1,0.119,0.188915,0.0357001,0.112676
2.8,0.734216,0.887448,1.24781,0.75,1,0.113654,0.18366,0.0340961,0.109578
2.85,0.734216,0.887448,1.24781,0.75,1,0.113654,0.18366,0.0340961,0.109578
2.9,0.735832,0.892401,1.26124,0.75,1,0.108528,0.178634,0.0325584,0.106611
2.95,0.73734,0.897242,1.27443,0.75,1,0.103535,0.17378,0.0310606,0.103744
3,0.73871,0.90184,1.28729,0.75,1,0.0988069,0.168988,0.0296421,0.100911
3.05,0.739934,0.906145,1.29975,0.75,1,0.0943933,0.164207,0.028318,0.0980823
3.1,0.739934,0.906145,1.29975,0.75,1,0.0943933,0.164207,0.028318,0.0980823
3.15,0.741052,0.910263,1.31192,0.75,1,0.0901819,0.159495,0.0270546,0.0952919
3.2,0.742103,0.914342,1.32391,0.75,1,0.0860208,0.154957,0.0258062,0.0926024
3.25,0.743054,0.918219,1.33552,0.75,1,0.0820751,0.150539,0.0246225,0.0899824
3.3,0.743054,0.918219,1.33552,0.75,1,0.0820751,0.150539,0.0246225,0.0899824
3.35,0.743899,0.921832,1.34678,0.75,1,0.078406,0.146127,0.0235218,0.0873642
3.4,0.744681,0.925369,1.35787,0.75,1,0.0748203,0.14177,0.0224461,0.0847774
3.45,0.745378,0.928713,1.36839,0.75,1,0.0714363,0.137662,0.0214309,0.0823366
3.5,0.745378,0.928713,1.36839,0.75,1,0.0714363,0.137662,0.0214309,0.0823366
3.55,0.74601,0.931908,1.37854,0.75,1,0.0682092,0.133727,0.0204628,0.0799975
3.6,0.7466,0.935029,1.38853,0.75,1,0.0650602,0.129983,0.0195181,0.0777701
3.65,0.747126,0.937977,1.39821,0.75,1,0.0620896,0.126283,0.0186269,0.0755687
3.7,0.747126,0.937977,1.39821,0.75,1,0.0620896,0.126283,0.0186269,0.0755687
3.75,0.747595,0.940747,1.40751,0.75,1,0.0593013,0.122725,0.0177904,0.0734506
3.8,0.748034,0.943496,1.41674,0.75,1,0.0565387,0.119273,0.0169616,0.0713944
3.85,0.748424,0.9461,1.4256,0.75,1,0.0539226,0.115966,0.0161768,0.0694235
3.9,0.748764,0.948524,1.4341,0.75,1,0.0514906,0.112695,0.0154472,0.067474
3.95,0.748764,0.948524,1.4341,0.75,1,0.0514906,0.112695,0.0154472,0.067474
4,0.749076,0.950854,1.44239,0.75,1,0.0491552,0.109603,0.0147465,0.0656304

Metric,Value
IAE,1.05438
ISE,0.422736
ITAE,1.29224
ITSE,0.328936

Parameter,Value
kv,0.3
vmax,1
wmax,1
controller_type,1
