t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
1.95,0.203803,0.824997,0.00442753,0.203891,1.22497,-0.000209663,0.203542,0.424906,-0.00214811,-0.734793,0.0774013,0.598061
2,0.203803,0.824997,0.00442753,0.203891,1.22497,-0.000209663,0.203542,0.424906,-0.00214811,-0.734793,0.0774013,0.598061
2.05,0.203794,0.824997,0.00443665,0.203894,1.22497,-0.000157143,0.203543,0.424905,-0.00215538,-0.729931,0.0808599,0.630793
2.1,0.203794,0.824997,0.00443665,0.203894,1.22497,-0.000157143,0.203543,0.424905,-0.00215538,-0.729931,0.0808599,0.630793
2.15,0.203799,0.824998,0.00444211,0.20389,1.22497,-0.000103653,0.203543,0.424905,-0.0021799,-0.725152,0.0844809,0.661129
2.2,0.203799,0.824998,0.00444211,0.20389,1.22497,-0.000103653,0.203543,0.424905,-0.0021799,-0.725152,0.0844809,0.661129
2.25,0.203811,0.824999,0.00444997,0.203895,1.22497,-5.12522e-05,0.203535,0.424905,-0.00218689,-0.720459,0.0882648,0.689111
2.3,0.203811,0.824999,0.00444997,0.203895,1.22497,-5.12522e-05,0.203535,0.424905,-0.00218689,-0.720459,0.0882648,0.689111
2.35,0.203795,0.824999,0.00445305,0.20389,1.22497,1.98347e-06,0.203541,0.424904,-0.00219462,-0.715907,0.0921351,0.714804
2.4,0.203795,0.824999,0.00445305,0.20389,1.22497,1.98347e-06,0.203541,0.424904,-0.00219462,-0.715907,0.0921351,0.714804
2.45,0.203794,0.824999,0.00445381,0.203897,1.22497,5.20685e-05,0.203527,0.424903,-0.00220488,-0.711466,0.0961022,0.738398
2.5,0.203794,0.824999,0.00445381,0.203897,1.22497,5.20685e-05,0.203527,0.424903,-0.00220488,-0.711466,0.0961022,0.738398
2.55,0.203808,0.824999,0.00445359,0.203892,1.22497,0.000104178,0.203523,0.424903,-0.00221046,-0.707088,0.100187,0.759938
2.6,0.203808,0.824999,0.00445359,0.203892,1.22497,0.000104178,0.203523,0.424903,-0.00221046,-0.707088,0.100187,0.759938
2.65,0.203795,0.824999,0.00448611,0.203897,1.22497,0.000154123,0.203534,0.424903,-0.00221711,-0.702766,0.104399,0.77955
2.7,0.203795,0.824999,0.00448611,0.203897,1.22497,0.000154123,0.203534,0.424903,-0.00221711,-0.702766,0.104399,0.77955
2.75,0.20379,0.825,0.00448576,0.203893,1.22497,0.000208032,0.203517,0.424902,-0.00223971,-0.698525,0.108672,0.797463
2.8,0.20379,0.825,0.00448576,0.203893,1.22497,0.000208032,0.203517,0.424902,-0.00223971,-0.698525,0.108672,0.797463
2.85,0.20379,0.825,0.00448576,0.203893,1.22497,0.000208032,0.203517,0.424902,-0.00223971,-0.698525,0.108672,0.797463
2.9,0.203799,0.825,0.00448827,0.203898,1.22497,0.000265067,0.203515,0.424902,-0.00224419,-0.69439,0.112994,0.813733
2.95,0.203799,0.825,0.00448827,0.203898,1.22497,0.000265067,0.203515,0.424902,-0.00224419,-0.69439,0.112994,0.813733
3,0.2038,0.825,0.00450614,0.203898,1.22497,0.000281978,0.203525,0.424901,-0.00224892,-0.690321,0.117384,0.828449
3.05,0.2038,0.825,0.00450614,0.203898,1.22497,0.000281978,0.203525,0.424901,-0.00224892,-0.690321,0.117384,0.828449
3.1,0.203791,0.825,0.00450154,0.203902,1.22497,0.000286246,0.203514,0.424901,-0.00226171,-0.686299,0.121833,0.841781
3.15,0.203791,0.825,0.00450154,0.203902,1.22497,0.000286246,0.203514,0.424901,-0.00226171,-0.686299,0.121833,0.841781
3.2,0.203795,0.825,0.00450395,0.203904,1.22497,0.000296634,0.203519,0.4249,-0.00226666,-0.682327,0.126346,0.853916
3.25,0.203795,0.825,0.00450395,0.203904,1.22497,0.000296634,0.203519,0.4249,-0.00226666,-0.682327,0.126346,0.853916
3.3,0.203807,0.825001,0.00450365,0.203909,1.22497,0.000306408,0.203505,0.424899,-0.00228297,-0.678402,0.130918,0.864923
3.35,0.20379,0.825001,0.00450435,0.203915,1.22497,0.000317429,0.203503,0.424899,-0.00228527,-0.674556,0.13549,0.874835
3.4,0.20379,0.825001,0.00450435,0.203915,1.22497,0.000317429,0.203503,0.424899,-0.00228527,-0.674556,0.13549,0.874835
