t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
2.3,0.453932,0.824987,-0.00100961,0.231263,1.21475,-0.717225,0.23206,0.435699,0.728293,-0.725312,0.0880704,0.614502
2.35,0.453905,0.824987,-0.00105219,0.23225,1.21386,-0.747095,0.233078,0.436647,0.759095,-0.720424,0.0915768,0.628981
2.4,0.453905,0.824987,-0.00105219,0.23225,1.21386,-0.747095,0.233078,0.436647,0.759095,-0.720424,0.0915768,0.628981
2.45,0.453889,0.824987,-0.00109504,0.23321,1.21292,-0.775211,0.234006,0.437574,0.788329,-0.715635,0.0951114,0.64209
2.5,0.453889,0.824987,-0.00109504,0.23321,1.21292,-0.775211,0.234006,0.437574,0.788329,-0.715635,0.0951114,0.64209
2.55,0.453889,0.824987,-0.00109504,0.23321,1.21292,-0.775211,0.234006,0.437574,0.788329,-0.715635,0.0951114,0.64209
2.6,0.453883,0.824987,-0.00113843,0.234138,1.21198,-0.802071,0.234909,0.438528,0.816518,-0.710888,0.0987134,0.654031
2.65,0.453883,0.824987,-0.00113843,0.234138,1.21198,-0.802071,0.234909,0.438528,0.816518,-0.710888,0.0987134,0.654031
2.7,0.453889,0.824987,-0.00118197,0.235015,1.21104,-0.827523,0.235743,0.439449,0.842937,-0.706169,0.102378,0.664881
2.75,0.453889,0.824987,-0.00118197,0.235015,1.21104,-0.827523,0.235743,0.439449,0.842937,-0.706169,0.102378,0.664881
2.8,0.453905,0.824987,-0.00122558,0.235829,1.21012,-0.851502,0.235911,0.439574,0.812167,-0.70148,0.106099,0.674697
2.85,0.453905,0.824987,-0.00122558,0.235829,1.21012,-0.851502,0.235911,0.439574,0.812167,-0.70148,0.106099,0.674697
2.9,0.453931,0.824987,-0.00126922,0.236247,1.20983,-0.824674,0.236012,0.439661,0.779014,-0.696818,0.109864,0.683561
2.95,0.453931,0.824987,-0.00126922,0.236247,1.20983,-0.824674,0.236012,0.439661,0.779014,-0.696818,0.109864,0.683561
3,0.453931,0.824987,-0.00126922,0.236247,1.20983,-0.824674,0.236012,0.439661,0.779014,-0.696818,0.109864,0.683561
3.05,0.453928,0.824988,-0.00131117,0.236337,1.20976,-0.791918,0.235998,0.439647,0.74592,-0.692183,0.113673,0.691597
3.1,0.453928,0.824988,-0.00131117,0.236337,1.20976,-0.791918,0.235998,0.439647,0.74592,-0.692183,0.113673,0.691597
3.15,0.453898,0.824988,-0.00135363,0.236324,1.20976,-0.759032,0.23599,0.439631,0.712928,-0.687568,0.117523,0.698878
3.2,0.453898,0.824988,-0.00135363,0.236324,1.20976,-0.759032,0.23599,0.439631,0.712928,-0.687568,0.117523,0.698878
3.25,0.453879,0.824988,-0.00139701,0.236312,1.20978,-0.725781,0.23599,0.439623,0.679782,-0.68299,0.1214,0.70545
3.3,0.453879,0.824988,-0.00139701,0.236312,1.20978,-0.725781,0.23599,0.439623,0.679782,-0.68299,0.1214,0.70545
3.35,0.453879,0.824988,-0.00139701,0.236312,1.20978,-0.725781,0.23599,0.439623,0.679782,-0.68299,0.1214,0.70545
3.4,0.453893,0.824987,-0.00143823,0.236349,1.20974,-0.692687,0.236,0.439617,0.646822,-0.67847,0.125279,0.711406
3.45,0.453893,0.824987,-0.00143823,0.236349,1.20974,-0.692687,0.236,0.439617,0.646822,-0.67847,0.125279,0.711406
3.5,0.453938,0.824988,-0.00148185,0.236384,1.2097,-0.659843,0.236018,0.439618,0.613864,-0.673964,0.129185,0.716297
3.55,0.453938,0.824988,-0.00148185,0.236384,1.2097,-0.659843,0.236018,0.439618,0.613864,-0.673964,0.129185,0.716297
3.6,0.453938,0.824988,-0.00148185,0.236384,1.2097,-0.659843,0.236018,0.439618,0.613864,-0.673964,0.129185,0.716297
3.65,0.453925,0.824988,-0.00152269,0.236377,1.20971,-0.626923,0.236007,0.439602,0.58093,-0.669467,0.13312,0.721135
3.7,0.453925,0.824988,-0.00152269,0.236377,1.20971,-0.626923,0.236007,0.439602,0.58093,-0.669467,0.13312,0.721135
3.75,0.453897,0.824988,-0.00156537,0.236394,1.2097,-0.593756,0.235982,0.439575,0.54797,-0.664982,0.137082,0.725539
3.8,0.453897,0.824988,-0.00156537,0.236394,1.2097,-0.593756,0.235982,0.439575,0.54797,-0.664982,0.137082,0.725539
3.85,0.45388,0.824988,-0.0016088,0.23644,1.20967,-0.560666,0.235967,0.439555,0.514998,-0.660507,0.14107,0.729139
3.9,0.45388,0.824988,-0.0016088,0.23644,1.20967,-0.560666,0.235967,0.439555,0.514998,-0.660507,0.14107,0.729139
3.95,0.45388,0.824988,-0.0016088,0.23644,1.20967,-0.560666,0.235967,0.439555,0.514998,-0.660507,0.14107,0.729139
4,0.453905,0.824988,-0.00165008,0.23649,1.20964,-0.527583,0.235962,0.439541,0.482014,-0.656036,0.145079,0.732711
4.05,0.453905,0.824988,-0.00165008,0.23649,1.20964,-0.527583,0.235962,0.439541,0.482014,-0.656036,0.145079,0.732711
4.1,0.453953,0.824988,-0.00169362,0.236465,1.20963,-0.494984,0.235967,0.439537,0.451512,-0.65157,0.14911,0.735667
4.15,0.453953,0.824988,-0.00169362,0.236465,1.20963,-0.494984,0.235967,0.439537,0.451512,-0.65157,0.14911,0.735667
4.2,0.453923,0.824988,-0.00173407,0.236459,1.20962,-0.462318,0.235994,0.439535,0.421182,-0.647141,0.15313,0.738572
4.25,0.453923,0.824988,-0.00173407,0.236459,1.20962,-0.462318,0.235994,0.439535,0.421182,-0.647141,0.15313,0.738572
4.3,0.453923,0.824988,-0.00173407,0.236459,1.20962,-0.462318,0.235994,0.439535,0.421182,-0.647141,0.15313,0.738572
4.35,0.453896,0.824988,-0.00177696,0.236519,1.2096,-0.431137,0.235961,0.43951,0.392342,-0.642741,0.157144,0.741226
4.4,0.453896,0.824988,-0.00177696,0.236519,1.2096,-0.431137,0.235961,0.43951,0.392342,-0.642741,0.157144,0.741226
4.45,0.453886,0.824988,-0.00181897,0.236538,1.20958,-0.403416,0.235951,0.43949,0.366535,-0.638346,0.161176,0.743423
4.5,0.453886,0.824988,-0.00181897,0.236538,1.20958,-0.403416,0.235951,0.43949,0.366535,-0.638346,0.161176,0.743423
4.55,0.453926,0.824988,-0.00186173,0.236522,1.20959,-0.375751,0.235965,0.439485,0.340796,-0.633951,0.165225,0.745613
4.6,0.453926,0.824988,-0.00186173,0.236522,1.20959,-0.375751,0.235965,0.439485,0.340796,-0.633951,0.165225,0.745613
4.65,0.453947,0.824988,-0.00190341,0.23651,1.20959,-0.349557,0.235985,0.439466,0.316692,-0.629539,0.169307,0.747604
4.7,0.453947,0.824988,-0.00190341,0.23651,1.20959,-0.349557,0.235985,0.439466,0.316692,-0.629539,0.169307,0.747604
4.75,0.453916,0.824988,-0.00194532,0.236546,1.20958,-0.324987,0.23601,0.439465,0.294104,-0.625122,0.17341,0.749404
4.8,0.453916,0.824988,-0.00194532,0.236546,1.20958,-0.324987,0.23601,0.439465,0.294104,-0.625122,0.17341,0.749404
4.85,0.453895,0.824988,-0.00198851,0.236607,1.20957,-0.30206,0.235986,0.439453,0.273035,-0.620764,0.177474,0.751024
4.9,0.453895,0.824988,-0.00198851,0.236607,1.20957,-0.30206,0.235986,0.439453,0.273035,-0.620764,0.177474,0.751024
4.95,0.453895,0.824988,-0.00198851,0.236607,1.20957,-0.30206,0.235986,0.439453,0.273035,-0.620764,0.177474,0.751024
5,0.453889,0.824989,-0.00203037,0.236598,1.20958,-0.280699,0.235966,0.439443,0.253385,-0.616413,0.181539,0.752503
5.05,0.453889,0.824989,-0.00203037,0.236598,1.20958,-0.280699,0.235966,0.439443,0.253385,-0.616413,0.181539,0.752503
5.1,0.453929,0.824988,-0.00207303,0.236587,1.20958,-0.260726,0.235957,0.439436,0.235023,-0.612052,0.185627,0.753886
5.15,0.453929,0.824988,-0.00207303,0.236587,1.20958,-0.260726,0.235957,0.439436,0.235023,-0.612052,0.185627,0.753886
5.2,0.453953,0.824988,-0.00211871,0.236592,1.20959,-0.242114,0.23596,0.439433,0.217933,-0.607663,0.189751,0.755098
5.25,0.453953,0.824988,-0.00211871,0.236592,1.20959,-0.242114,0.23596,0.439433,0.217933,-0.607663,0.189751,0.755098
5.3,0.453921,0.824988,-0.00216148,0.236646,1.20958,-0.224817,0.235973,0.439432,0.202039,-0.6033,0.193866,0.75621
5.35,0.453921,0.824988,-0.00216148,0.236646,1.20958,-0.224817,0.235973,0.439432,0.202039,-0.6033,0.193866,0.75621
5.4,0.453921,0.824988,-0.00216148,0.236646,1.20958,-0.224817,0.235973,0.439432,0.202039,-0.6033,0.193866,0.75621
5.45,0.4539,0.824988,-0.00220451,0.236663,1.20958,-0.20877,0.235997,0.439433,0.187267,-0.598971,0.197954,0.757252
5.5,0.4539,0.824988,-0.00220451,0.236663,1.20958,-0.20877,0.235997,0.439433,0.187267,-0.598971,0.197954,0.757252
5.55,0.45389,0.824988,-0.00224807,0.236644,1.20959,-0.193852,0.235971,0.439425,0.173564,-0.594639,0.202053,0.758176
5.6,0.45389,0.824988,-0.00224807,0.236644,1.20959,-0.193852,0.235971,0.439425,0.173564,-0.594639,0.202053,0.758176
5.65,0.45389,0.824988,-0.00229179,0.236633,1.20959,-0.180003,0.235953,0.43942,0.160814,-0.590301,0.206161,0.759028
5.7,0.45389,0.824988,-0.00229179,0.236633,1.20959,-0.180003,0.235953,0.43942,0.160814,-0.590301,0.206161,0.759028
