time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278994,0.524991,-0.000498405,0.75,1,0.668939,0.790128,0.267576,0.568355
0.1,0.278994,0.524991,-0.000498405,0.75,1,0.668939,0.790128,0.267576,0.568355
0.15,0.27728,0.524922,0.00570706,0.75,1,0.670196,0.782179,0.268079,0.563861
0.2,0.283074,0.525282,0.00602733,0.75,1,0.665866,0.787645,0.266346,0.566955
0.25,0.321368,0.531996,0.242458,0.75,1,0.634628,0.586824,0.253851,0.442975
0.3,0.359208,0.541366,0.514544,0.75,1,0.602548,0.350553,0.241019,0.274734
0.35,0.359208,0.541366,0.514544,0.75,1,0.602548,0.350553,0.241019,0.274734
0.4,0.390812,0.562695,0.589556,0.75,1,0.565908,0.293607,0.226363,0.231525
0.45,0.420415,0.583263,0.623519,0.75,1,0.531316,0.278128,0.212526,0.219645
0.5,0.447154,0.60309,0.651846,0.75,1,0.499253,0.267174,0.199701,0.211206
0.55,0.471691,0.622328,0.678437,0.75,1,0.46914,0.257291,0.187656,0.203569
0.6,0.471691,0.622328,0.678437,0.75,1,0.46914,0.257291,0.187656,0.203569
0.65,0.493901,0.640703,0.70404,0.75,1,0.441226,0.247506,0.176491,0.195989
0.7,0.515075,0.659135,0.729285,0.75,1,0.41398,0.238069,0.165592,0.188661
0.75,0.534244,0.676677,0.753126,0.75,1,0.388701,0.229224,0.15548,0.181777
0.8,0.551779,0.693488,0.776109,0.75,1,0.365022,0.220637,0.146009,0.175081
0.85,0.551779,0.693488,0.776109,0.75,1,0.365022,0.220637,0.146009,0.175081
0.9,0.567569,0.709326,0.798029,0.75,1,0.34318,0.212291,0.137272,0.16856
0.95,0.582658,0.725127,0.819435,0.75,1,0.321805,0.204499,0.128722,0.162461
1,0.596249,0.739991,0.839979,0.75,1,0.302066,0.196796,0.120826,0.156422
1.05,0.608425,0.753848,0.859633,0.75,1,0.283962,0.189216,0.113585,0.150471
1.1,0.608425,0.753848,0.859633,0.75,1,0.283962,0.189216,0.113585,0.150471
1.15,0.619627,0.767106,0.878293,0.75,1,0.266902,0.182168,0.106761,0.14493
1.2,0.630172,0.780055,0.896503,0.75,1,0.250468,0.175444,0.100187,0.139637
1.25,0.639836,0.792381,0.913782,0.75,1,0.235036,0.169185,0.0940144,0.134703
1.3,0.648495,0.803815,0.930217,0.75,1,0.220888,0.163112,0.0883553,0.129912
1.35,0.648495,0.803815,0.930217,0.75,1,0.220888,0.163112,0.0883553,0.129912
1.4,0.656489,0.814721,0.946453,0.75,1,0.207539,0.15694,0.0830157,0.125037
1.45,0.664009,0.825336,0.962039,0.75,1,0.194684,0.151271,0.0778736,0.120556
1.5,0.670899,0.835388,0.976978,0.75,1,0.182631,0.145871,0.0730525,0.116284
1.55,0.670899,0.835388,0.976978,0.75,1,0.182631,0.145871,0.0730525,0.116284
1.6,0.677075,0.844681,0.991222,0.75,1,0.171587,0.140609,0.0686346,0.112117
1.65,0.682902,0.853711,1.00531,0.75,1,0.160943,0.135449,0.0643772,0.108028
1.7,0.688234,0.862248,1.01865,0.75,1,0.150965,0.130634,0.0603862,0.10421
1.75,0.688234,0.862248,1.01865,0.75,1,0.150965,0.130634,0.0603862,0.10421
1.8,0.693009,0.870112,1.03138,0.75,1,0.141841,0.125937,0.0567365,0.100483
1.85,0.697532,0.877778,1.04383,0.75,1,0.133008,0.12147,0.0532032,0.0969375
1.9,0.701673,0.884998,1.0558,0.75,1,0.124743,0.117172,0.0498974,0.0935229
1.95,0.701673,0.884998,1.0558,0.75,1,0.124743,0.117172,0.0498974,0.0935229
2,0.705332,0.891528,1.06771,0.75,1,0.117309,0.112459,0.0469234,0.0897778
2.05,0.708844,0.897999,1.07899,0.75,1,0.109991,0.108301,0.0439963,0.0864718
2.1,0.711979,0.903931,1.08971,0.75,1,0.103319,0.104229,0.0413277,0.0832325
2.15,0.711979,0.903931,1.08971,0.75,1,0.103319,0.104229,0.0413277,0.0832325
2.2,0.714866,0.909538,1.10002,0.75,1,0.0970451,0.100324,0.038818,0.0801246
2.25,0.717604,0.914989,1.11008,0.75,1,0.0909752,0.0966231,0.0363901,0.0771782
2.3,0.720113,0.920112,1.11974,0.75,1,0.0852953,0.0930683,0.0341181,0.0743472
2.35,0.720113,0.920112,1.11974,0.75,1,0.0852953,0.0930683,0.0341181,0.0743472
2.4,0.722356,0.924802,1.12896,0.75,1,0.0801186,0.0895563,0.0320474,0.0715493
2.45,0.724512,0.92942,1.13809,0.75,1,0.0750406,0.0861615,0.0300163,0.068844
2.5,0.726479,0.933733,1.14679,0.75,1,0.0703176,0.0829374,0.028127,0.0662739
2.55,0.726479,0.933733,1.14679,0.75,1,0.0703176,0.0829374,0.028127,0.0662739
2.6,0.728222,0.937642,1.15508,0.75,1,0.0660518,0.0797255,0.0264207,0.0637129
2.65,0.729899,0.94148,1.16326,0.75,1,0.0618759,0.0766693,0.0247503,0.0612753
2.7,0.731438,0.945094,1.17103,0.75,1,0.0579582,0.0737632,0.0231833,0.058957
2.75,0.731438,0.945094,1.17103,0.75,1,0.0579582,0.0737632,0.0231833,0.058957
2.8,0.732794,0.948341,1.1784,0.75,1,0.0544487,0.0708803,0.0217795,0.0566568
2.85,0.73411,0.951556,1.18565,0.75,1,0.0509837,0.0682082,0.0203935,0.0545242
2.9,0.73531,0.95455,1.19243,0.75,1,0.047765,0.0657449,0.019106,0.052558

Metric,Value
IAE,0.75816
ISE,0.309716
ITAE,0.666435
ITSE,0.16992

Parameter,Value
kv,0.4
vmax,1
wmax,1
controller_type,1
