time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.279013,0.524992,-0.00199983,0.75,1,0.668926,0.791649,0.367909,0.782664
0.1,0.278994,0.524992,-0.00210827,0.75,1,0.668939,0.791737,0.367916,0.782732
0.15,0.26305,0.524856,-0.00108404,0.75,1,0.680354,0.774212,0.374195,0.769068
0.2,0.256551,0.524803,-0.00385738,0.75,1,0.685057,0.770415,0.376781,0.766076
0.25,0.283589,0.524939,-0.00465313,0.75,1,0.665749,0.799238,0.366162,0.788508
0.3,0.283589,0.524939,-0.00465313,0.75,1,0.665749,0.799238,0.366162,0.788508
0.35,0.351527,0.52364,0.0499512,0.75,1,0.621048,0.824243,0.341576,0.807438
0.4,0.423787,0.525902,0.0136513,0.75,1,0.575485,0.95447,0.316517,0.897608
0.45,0.470098,0.529224,0.0799997,0.75,1,0.5477,0.954391,0.301235,0.897558
0.5,0.470098,0.529224,0.0799997,0.75,1,0.5477,0.954391,0.301235,0.897558
0.55,0.516317,0.535066,0.174768,0.75,1,0.520357,0.93029,0.286196,0.881972
0.6,0.545707,0.541426,0.249363,0.75,1,0.502022,0.902331,0.276112,0.863251
0.65,0.587404,0.554441,0.358672,0.75,1,0.4743,0.862215,0.260865,0.835214
0.7,0.624664,0.57063,0.464356,0.75,1,0.447289,0.822425,0.246009,0.806078
0.75,0.658056,0.589557,0.566705,0.75,1,0.420616,0.783718,0.231339,0.776509
0.8,0.658056,0.589557,0.566705,0.75,1,0.420616,0.783718,0.231339,0.776509
0.85,0.687059,0.61012,0.665585,0.75,1,0.394928,0.745155,0.21721,0.745894
0.9,0.712751,0.632409,0.761879,0.75,1,0.369473,0.707931,0.20321,0.71529
0.95,0.734856,0.655535,0.854224,0.75,1,0.344798,0.672637,0.189639,0.685356
1,0.734856,0.655535,0.854224,0.75,1,0.344798,0.672637,0.189639,0.685356
1.05,0.753042,0.678364,0.940768,0.75,1,0.32165,0.639485,0.176907,0.65646
1.1,0.768659,0.701919,1.02567,0.75,1,0.298665,0.607647,0.164266,0.628031
1.15,0.781093,0.724554,1.10589,0.75,1,0.277196,0.577317,0.152458,0.600356
1.2,0.781093,0.724554,1.10589,0.75,1,0.277196,0.577317,0.152458,0.600356
1.25,0.790787,0.745912,1.18093,0.75,1,0.257341,0.549033,0.141537,0.574049
1.3,0.798603,0.76724,1.25519,0.75,1,0.23778,0.521459,0.130779,0.54796
1.35,0.804297,0.787099,1.32497,0.75,1,0.219715,0.495542,0.120843,0.52306
1.4,0.804297,0.787099,1.32497,0.75,1,0.219715,0.495542,0.120843,0.52306
1.45,0.808185,0.805269,1.39079,0.75,1,0.203238,0.470364,0.111781,0.498532
1.5,0.810811,0.823173,1.45554,0.75,1,0.186992,0.446482,0.102845,0.474975
1.55,0.812171,0.839377,1.51592,0.75,1,0.172235,0.424185,0.0947293,0.452736
1.6,0.812559,0.853885,1.57264,0.75,1,0.158944,0.402692,0.0874193,0.431086
1.65,0.812559,0.853885,1.57264,0.75,1,0.158944,0.402692,0.0874193,0.431086
1.7,0.812162,0.867307,1.62665,0.75,1,0.146531,0.382252,0.0805922,0.410312
1.75,0.811117,0.880004,1.67893,0.75,1,0.134664,0.362943,0.0740649,0.39053
1.8,0.809567,0.8916,1.72889,0.75,1,0.123688,0.344379,0.0680284,0.371373
1.85,0.807738,0.901819,1.77627,0.75,1,0.1139,0.32614,0.0626447,0.352428
1.9,0.80558,0.911141,1.82046,0.75,1,0.10481,0.309287,0.0576453,0.334818
1.95,0.80558,0.911141,1.82046,0.75,1,0.10481,0.309287,0.0576453,0.334818
2,0.803214,0.919669,1.86258,0.75,1,0.0963579,0.293279,0.0529969,0.318002
2.05,0.800564,0.927853,1.90397,0.75,1,0.0881018,0.278112,0.048456,0.301995
2.1,0.79791,0.935055,1.94267,0.75,1,0.0807045,0.263703,0.0443875,0.286723
2.15,0.79791,0.935055,1.94267,0.75,1,0.0807045,0.263703,0.0443875,0.286723
2.2,0.795327,0.941322,1.97878,0.75,1,0.0741462,0.24974,0.0407804,0.271867
2.25,0.792591,0.947335,2.01424,0.75,1,0.0677314,0.236581,0.0372522,0.257818
2.3,0.789948,0.95265,2.04752,0.75,1,0.0619508,0.224083,0.0340729,0.244434
2.35,0.787485,0.957227,2.07841,0.75,1,0.0568738,0.211989,0.0312806,0.231445
2.4,0.787485,0.957227,2.07841,0.75,1,0.0568738,0.211989,0.0312806,0.231445
2.45,0.78508,0.961384,2.1076,0.75,1,0.0521712,0.200641,0.0286941,0.219228
2.5,0.782624,0.965363,2.13624,0.75,1,0.0475824,0.19004,0.0261703,0.207788

Metric,Value
IAE,0.752356
ISE,0.336486
ITAE,0.589953
ITSE,0.178724

Parameter,Value
kv,0.55
vmax,1
wmax,1
controller_type,1
