time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278909,0.524976,0.0090153,0.75,1,0.66901,0.78054,0.163961,0.570951
0.1,0.278571,0.524971,0.0129765,0.75,1,0.669252,0.776225,0.164217,0.573176
0.15,0.278571,0.524971,0.0129765,0.75,1,0.669252,0.776225,0.163979,0.566748
0.2,0.287236,0.525208,0.0340335,0.75,1,0.663006,0.764193,0.072533,0.380492
0.25,0.31646,0.526597,0.0918192,0.75,1,0.641925,0.737503,0.0333361,0.244668
0.3,0.328735,0.528122,0.106875,0.75,1,0.632561,0.735132,0,0.381467
0.35,0.328735,0.528122,0.106875,0.75,1,0.632561,0.735132,0.0144303,0.225006
0.4,0.33155,0.528472,0.147343,0.75,1,0.630428,0.697624,0.020937,0.252644
0.45,0.333872,0.528864,0.17623,0.75,1,0.628595,0.671086,0.0231465,0.263644
0.5,0.336009,0.529273,0.197491,0.75,1,0.626875,0.651949,0.0253766,0.282093
0.55,0.336009,0.529273,0.197491,0.75,1,0.626875,0.651949,0.0283359,0.319326
0.6,0.339603,0.530064,0.23164,0.75,1,0.623912,0.621287,0.0314849,0.340182
0.65,0.343891,0.531176,0.27203,0.75,1,0.620258,0.584925,0.0355274,0.365584
0.7,0.343891,0.531176,0.27203,0.75,1,0.620258,0.584925,0.0414212,0.430506
0.75,0.348841,0.532687,0.316234,0.75,1,0.615882,0.54519,0.051543,0.51858
0.8,0.35512,0.534945,0.372902,0.75,1,0.610087,0.49392,0.0475535,-1
0.85,0.362002,0.537839,0.380196,0.75,1,0.603436,0.492216,0.0397405,1
0.9,0.362002,0.537839,0.380196,0.75,1,0.603436,0.492216,0.0239666,1
0.95,0.368014,0.540112,0.418337,0.75,1,0.597838,0.459332,0.0379765,-1
1,0.371311,0.541827,0.542538,0.75,1,0.594414,0.337554,0.0357513,-1
1.05,0.375996,0.544319,0.437251,0.75,1,0.589512,0.446274,0.0256867,-1
1.1,0.375996,0.544319,0.437251,0.75,1,0.589512,0.446274,0,1
1.15,0.379975,0.545882,0.313342,0.75,1,0.585783,0.57374,0,0.194338
1.2,0.379218,0.546178,0.381023,0.75,1,0.586032,0.504741,0,0.208387
1.25,0.379257,0.546202,0.405696,0.75,1,0.585989,0.480093,0,1
1.3,0.379257,0.546202,0.405696,0.75,1,0.585989,0.480093,0.0249703,-1
1.35,0.379248,0.546217,0.496712,0.75,1,0.585983,0.389047,0.00821692,1
1.4,0.383479,0.547924,0.397201,0.75,1,0.581988,0.492332,0,1
1.45,0.384385,0.548273,0.509889,0.75,1,0.581147,0.380477,0.0189785,-1
1.5,0.384385,0.548273,0.509889,0.75,1,0.581147,0.380477,0.0194472,-1
1.55,0.385808,0.548476,0.485468,0.75,1,0.580094,0.406586,0,1
1.6,0.387689,0.54912,0.44125,0.75,1,0.578413,0.452635,0.0127227,-1
1.65,0.388291,0.549628,0.485456,0.75,1,0.57764,0.40869,0.012153,-1
