time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.204048,0.824987,1.92658e-05,1.25,0.75,1.04864,-0.0715898,0.157296,-0.0715287
0.1,0.204014,0.824988,1.8433e-05,1.25,0.75,1.04867,-0.0715869,0.157301,-0.0715258
0.15,0.20508,0.824873,-0.00768315,1.25,0.75,1.0476,-0.0638485,0.156868,-0.0638051
0.2,0.223987,0.825404,0.0711537,1.25,0.75,1.02878,-0.144514,0.110823,-0.634188
0.25,0.223987,0.825404,0.0711537,1.25,0.75,1.02878,-0.144514,0.0327154,-0.192557
0.3,0.245974,0.826496,0.0613458,1.25,0.75,1.00694,-0.137388,0,-0.913727
0.35,0.253999,0.827422,0.0630866,1.25,0.75,0.999005,-0.140664,0.123582,-0.140201
0.4,0.254286,0.827506,-0.0157296,1.25,0.75,0.998726,-0.0619537,0.122501,-0.0619141
0.45,0.260265,0.827931,-0.0163442,1.25,0.75,0.992798,-0.0622334,0.0495799,-0.329261
0.5,0.260265,0.827931,-0.0163442,1.25,0.75,0.992798,-0.0622334,0.0270641,-0.0136735
0.55,0.278879,0.82786,0.0124725,1.25,0.75,0.974237,-0.0924764,0.0966849,-0.0923446
0.6,0.283839,0.827737,-0.00066005,1.25,0.75,0.969283,-0.0796262,0.0926999,-0.0795421
0.65,0.283839,0.827737,-0.00066005,1.25,0.75,0.969283,-0.0796262,0.0808068,-0.0599392
0.7,0.297857,0.827636,-0.0109035,1.25,0.75,0.955303,-0.0704543,0.0586154,0.0265976
0.75,0.309,0.827485,-0.0147708,1.25,0.75,0.944185,-0.0673865,0.0292486,0.131035
0.8,0.309,0.827485,-0.0147708,1.25,0.75,0.944185,-0.0673865,0.0150371,0.186722
0.85,0.315553,0.827406,-0.00397144,1.25,0.75,0.937647,-0.0786757,0.0048202,0.218379
0.9,0.31794,0.827429,0.0187265,1.25,0.75,0.93527,-0.101609,0,0.234756
0.95,0.318482,0.827459,0.0463026,1.25,0.75,0.934733,-0.129265,0,0.241696
1,0.318482,0.827459,0.0463026,1.25,0.75,0.934733,-0.129265,0,0.27356
1.05,0.318543,0.827466,0.075858,1.25,0.75,0.934673,-0.158833,0,0.292968
1.1,0.318532,0.827472,0.109629,1.25,0.75,0.934684,-0.19261,0,0.292065
1.15,0.318581,0.827489,0.145799,1.25,0.75,0.934637,-0.228802,0,0.287869
1.2,0.318581,0.827489,0.145799,1.25,0.75,0.934637,-0.228802,0,0.316612
1.25,0.3186,0.827504,0.181551,1.25,0.75,0.934619,-0.264572,0,0.310118
1.3,0.318614,0.827514,0.207659,1.25,0.75,0.934606,-0.290692,0,0.324428
1.35,0.318642,0.827534,0.246021,1.25,0.75,0.934579,-0.329078,0,0.312416
1.4,0.318642,0.827546,0.28572,1.25,0.75,0.934581,-0.36879,0,0.297592
1.45,0.318642,0.827546,0.28572,1.25,0.75,0.934581,-0.36879,0,0.317783
1.5,0.318685,0.827573,0.32324,1.25,0.75,0.93454,-0.406342,0,0.310732
1.55,0.318683,0.827589,0.362575,1.25,0.75,0.934543,-0.445694,0,0.291885
1.6,0.318699,0.827614,0.400138,1.25,0.75,0.934529,-0.483285,0.0673976,0.273013
1.65,0.318699,0.827614,0.400138,1.25,0.75,0.934529,-0.483285,0.064495,0.291968
