time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278841,0.524965,0.000721546,1.25,0.75,0.996891,0.226978,0.191761,0.871714
0.1,0.279241,0.524797,0.0188519,1.25,0.75,0.996539,0.209102,0.195665,0.824378
0.15,0.279241,0.524797,0.0188519,1.25,0.75,0.996539,0.209102,0.203533,0.763126
0.2,0.285359,0.524307,0.0674305,1.25,0.75,0.990692,0.162402,0,-1
0.25,0.321296,0.533866,0.329338,1.25,0.75,0.953523,-0.100681,0,-0.306598
0.3,0.321296,0.533866,0.329338,1.25,0.75,0.953523,-0.100681,0,0.709447
0.35,0.357784,0.541466,0.544701,1.25,0.75,0.916261,-0.315096,0.132041,0.0110557
0.4,0.355539,0.537493,0.545189,1.25,0.75,0.919358,-0.311933,0.126079,0.41583
0.45,0.355539,0.537493,0.545189,1.25,0.75,0.919358,-0.311933,0.115892,0.308923
0.5,0.371034,0.548821,0.607475,1.25,0.75,0.901695,-0.382468,0.103268,0.145397
0.55,0.385287,0.559162,0.645881,1.25,0.75,0.885521,-0.428667,0.0909968,0.0156418
0.6,0.397152,0.568267,0.659063,1.25,0.75,0.871996,-0.449114,0.0785586,-0.06785
0.65,0.397152,0.568267,0.659063,1.25,0.75,0.871996,-0.449114,0.0675902,-0.110198
0.7,0.407068,0.575936,0.654969,1.25,0.75,0.860716,-0.451333,0.0564273,-0.143986
0.75,0.414702,0.58172,0.64018,1.25,0.75,0.85208,-0.441379,0.0465179,-0.15494
0.8,0.418876,0.58479,0.627854,1.25,0.75,0.847385,-0.431633,0.0380071,-0.156814
0.85,0.418876,0.58479,0.627854,1.25,0.75,0.847385,-0.431633,0.0308885,-0.160808
0.9,0.42386,0.588335,0.60855,1.25,0.75,0.84181,-0.415304,0.0246441,-0.14765
0.95,0.427471,0.590796,0.5892,1.25,0.75,0.837795,-0.39801,0.0195188,-0.130362
1,0.430116,0.592529,0.57218,1.25,0.75,0.834869,-0.382426,0.0135068,-0.111404
1.05,0.430116,0.592529,0.57218,1.25,0.75,0.834869,-0.382426,0.0103153,-0.107346
1.1,0.432055,0.593749,0.557432,1.25,0.75,0.832735,-0.368678,0.00783892,-0.0904541
1.15,0.433309,0.594516,0.544621,1.25,0.75,0.83136,-0.35649,0.00586859,-0.074637
1.2,0.433309,0.594516,0.544621,1.25,0.75,0.83136,-0.35649,0,-0.104822
1.25,0.434119,0.594996,0.534548,1.25,0.75,0.830475,-0.346803,0,-0.143098
1.3,0.434125,0.594989,0.521434,1.25,0.75,0.83047,-0.333678,0,-0.183639
1.35,0.434088,0.594956,0.501906,1.25,0.75,0.830512,-0.314119,0,-0.228036
