time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278945,0.524989,0.000113215,0.75,1,0.668975,0.789466,0.367936,0.709977
0.1,0.277145,0.524932,0.000872703,0.75,1,0.670284,0.78686,0.368656,0.70814
0.15,0.257148,0.524884,-0.00113653,0.75,1,0.684572,0.768213,0.376514,0.694851
0.2,0.261242,0.524965,-0.00473286,0.75,1,0.681573,0.775893,0.374865,0.700354
0.25,0.261242,0.524965,-0.00473286,0.75,1,0.681573,0.775893,0.374865,0.700354
0.3,0.297808,0.524989,-0.00175232,0.75,1,0.65583,0.811756,0.360707,0.725497
0.35,0.358601,0.527631,-0.197735,0.75,1,0.613454,1.0766,0.3374,0.880351
0.4,0.40692,0.518652,-0.138845,0.75,1,0.591101,1.09041,0.325106,0.886816
0.45,0.40692,0.518652,-0.138845,0.75,1,0.591101,1.09041,0.325106,0.886816
0.5,0.455935,0.514462,-0.0299178,0.75,1,0.567646,1.05615,0.312205,0.870468
0.55,0.503997,0.515683,0.079814,0.75,1,0.543213,1.02101,0.298767,0.852634
0.6,0.503997,0.515683,0.079814,0.75,1,0.543213,1.02101,0.298767,0.852634
0.65,0.549146,0.521701,0.186347,0.75,1,0.51876,0.986877,0.285318,0.834309
0.7,0.592571,0.532293,0.291682,0.75,1,0.493492,0.954429,0.27142,0.815984
0.75,0.61898,0.541183,0.358795,0.75,1,0.477157,0.933844,0.262436,0.803912
0.8,0.655993,0.557198,0.456935,0.75,1,0.452671,0.904666,0.248969,0.786219
0.85,0.678576,0.569229,0.520529,0.75,1,0.436652,0.885958,0.240158,0.774521
0.9,0.678576,0.569229,0.520529,0.75,1,0.436652,0.885958,0.240158,0.774521
0.95,0.709357,0.58884,0.614696,0.75,1,0.413164,0.857571,0.22724,0.756255
1,0.737351,0.610635,0.708313,0.75,1,0.38957,0.830007,0.214264,0.737936
1.05,0.761775,0.63364,0.800818,0.75,1,0.36655,0.802107,0.201602,0.718823
1.1,0.761775,0.63364,0.800818,0.75,1,0.36655,0.802107,0.201602,0.718823
1.15,0.782376,0.656863,0.889432,0.75,1,0.344661,0.775437,0.189564,0.700028
1.2,0.800224,0.681069,0.978009,0.75,1,0.322861,0.74898,0.177574,0.680892
1.25,0.814653,0.704688,1.06352,0.75,1,0.302307,0.722802,0.166269,0.661489
1.3,0.814653,0.704688,1.06352,0.75,1,0.302307,0.722802,0.166269,0.661489
1.35,0.826046,0.727463,1.14607,0.75,1,0.282948,0.69683,0.155621,0.64179
1.4,0.83528,0.750458,1.2277,0.75,1,0.263711,0.672394,0.145041,0.622861
1.45,0.842069,0.772174,1.30615,0.75,1,0.245726,0.648696,0.135149,0.604148
1.5,0.842069,0.772174,1.30615,0.75,1,0.245726,0.648696,0.135149,0.604148
1.55,0.846692,0.792336,1.38146,0.75,1,0.229071,0.625099,0.125989,0.585177
1.6,0.849701,0.812228,1.45611,0.75,1,0.212599,0.602801,0.11693,0.566952
1.65,0.851125,0.830599,1.52774,0.75,1,0.197289,0.581236,0.108509,0.549057
1.7,0.851125,0.830599,1.52774,0.75,1,0.197289,0.581236,0.108509,0.549057
1.75,0.851271,0.847207,1.5963,0.75,1,0.183307,0.559818,0.100819,0.531032
1.8,0.850291,0.863408,1.66405,0.75,1,0.169457,0.540081,0.0932012,0.514205
1.85,0.84844,0.87794,1.72937,0.75,1,0.156809,0.520112,0.086245,0.496977
1.9,0.845941,0.890883,1.79161,0.75,1,0.145297,0.500416,0.0799132,0.479791
1.95,0.845941,0.890883,1.79161,0.75,1,0.145297,0.500416,0.0799132,0.479791
2,0.842898,0.902737,1.85137,0.75,1,0.134499,0.481873,0.0739746,0.46344
2.05,0.839246,0.914086,1.91065,0.75,1,0.123879,0.464568,0.0681336,0.448036
2.1,0.8354,0.924103,1.96782,0.75,1,0.114252,0.447221,0.0628386,0.432462
2.15,0.831443,0.932852,2.02198,0.75,1,0.105555,0.430124,0.0580552,0.416984
2.2,0.831443,0.932852,2.02198,0.75,1,0.105555,0.430124,0.0580552,0.416984
2.25,0.82735,0.940739,2.07431,0.75,1,0.0974414,0.413532,0.0535928,0.401846
2.3,0.823073,0.948029,2.12527,0.75,1,0.0896702,0.398104,0.0493186,0.387672
2.35,0.818806,0.954529,2.17438,0.75,1,0.0824736,0.383236,0.0453605,0.373924
2.4,0.818806,0.954529,2.17438,0.75,1,0.0824736,0.383236,0.0453605,0.373924
2.45,0.814735,0.960126,2.22123,0.75,1,0.0760298,0.368284,0.0418164,0.360015
2.5,0.810514,0.965397,2.26749,0.75,1,0.0697088,0.354661,0.0383399,0.347273
2.55,0.8065,0.969976,2.31175,0.75,1,0.0639824,0.341392,0.0351903,0.334799
2.6,0.8065,0.969976,2.31175,0.75,1,0.0639824,0.341392,0.0351903,0.334799
2.65,0.802788,0.973855,2.35365,0.75,1,0.0589082,0.328078,0.0323995,0.322224
2.7,0.798994,0.977502,2.39484,0.75,1,0.0539125,0.316281,0.0296519,0.311035
2.75,0.79548,0.980607,2.43431,0.75,1,0.0494424,0.304232,0.0271933,0.299561

Metric,Value
IAE,0.858109
ISE,0.386914
ITAE,0.754919
ITSE,0.235392

Parameter,Value
kv,0.55
vmax,1
wmax,1
controller_type,0
