time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278774,0.524952,0.000223587,0.75,1,0.669122,0.789213,0.15,0.709799
0.1,0.279163,0.524784,0.0141884,0.75,1,0.668967,0.775839,0.15,0.700315
0.15,0.292027,0.525964,0.0784842,0.75,1,0.659128,0.724146,0.15,0.662496
0.2,0.292027,0.525964,0.0784842,0.75,1,0.659128,0.724146,0.15,0.662496
0.25,0.31558,0.52839,0.20656,0.75,1,0.6412,0.619862,0.15,0.580923
0.3,0.337278,0.533908,0.288313,0.75,1,0.62256,0.55774,0.15,0.52927
0.35,0.358594,0.54112,0.358446,0.75,1,0.603133,0.50614,0.15,0.484805
0.4,0.379312,0.549687,0.420463,0.75,1,0.583259,0.461618,0.15,0.445397
0.45,0.379312,0.549687,0.420463,0.75,1,0.583259,0.461618,0.15,0.445397
0.5,0.399639,0.559514,0.477036,0.75,1,0.562833,0.421833,0.15,0.409433
0.55,0.419339,0.570401,0.531858,0.75,1,0.542118,0.38295,0.15,0.373658
0.6,0.438409,0.582324,0.581413,0.75,1,0.521097,0.348441,0.15,0.341433
0.65,0.456913,0.595114,0.625183,0.75,1,0.499833,0.319042,0.15,0.313657
0.7,0.456913,0.595114,0.625183,0.75,1,0.499833,0.319042,0.15,0.313657
0.75,0.474813,0.608608,0.665279,0.75,1,0.478451,0.292714,0.15,0.288552
0.8,0.492287,0.622893,0.704032,0.75,1,0.456756,0.267269,0.15,0.264098
0.85,0.509163,0.637756,0.738711,0.75,1,0.434998,0.245343,0.15,0.242889
0.9,0.525606,0.653234,0.770457,0.75,1,0.413037,0.226001,0.15,0.224082
0.95,0.525606,0.653234,0.770457,0.75,1,0.413037,0.226001,0.15,0.224082
1,0.541458,0.669086,0.799015,0.75,1,0.391144,0.209452,0.15,0.207924
1.05,0.556902,0.685414,0.826736,0.75,1,0.369122,0.193543,0.15,0.192337
1.1,0.571867,0.702084,0.851596,0.75,1,0.347109,0.180305,0.15,0.179329
1.15,0.586459,0.719136,0.873962,0.75,1,0.325008,0.169549,0.15,0.168738
1.2,0.586459,0.719136,0.873962,0.75,1,0.325008,0.169549,0.15,0.168738
1.25,0.600667,0.736506,0.895081,0.75,1,0.302869,0.16011,0.15,0.159426
1.3,0.614508,0.754156,0.915471,0.75,1,0.280709,0.151616,0.140354,0.151036
1.35,0.627466,0.771324,0.934376,0.75,1,0.259437,0.144513,0.129718,0.14401
1.4,0.627466,0.771324,0.934376,0.75,1,0.259437,0.144513,0.129718,0.14401
1.45,0.639211,0.787525,0.952606,0.75,1,0.239624,0.137552,0.119812,0.137119
1.5,0.650033,0.803035,0.97019,0.75,1,0.220881,0.130945,0.110441,0.130571
1.55,0.659504,0.817123,0.986303,0.75,1,0.204043,0.124976,0.102022,0.124651
1.6,0.659504,0.817123,0.986303,0.75,1,0.204043,0.124976,0.102022,0.124651
1.65,0.668056,0.830285,1.00177,0.75,1,0.188463,0.119204,0.0942313,0.118922
1.7,0.675999,0.842904,1.0171,0.75,1,0.173653,0.113473,0.0868265,0.11323
1.75,0.683131,0.854653,1.0314,0.75,1,0.159991,0.108201,0.0799957,0.10799
1.8,0.683131,0.854653,1.0314,0.75,1,0.159991,0.108201,0.0799957,0.10799
1.85,0.689363,0.865222,1.0451,0.75,1,0.14779,0.102926,0.0738949,0.102744
1.9,0.695314,0.875641,1.05854,0.75,1,0.135852,0.0979659,0.0679259,0.0978092
1.95,0.700532,0.885089,1.07076,0.75,1,0.125107,0.0935262,0.0625535,0.0933899
2,0.704979,0.893368,1.08194,0.75,1,0.115747,0.089348,0.0578734,0.0892292
2.05,0.704979,0.893368,1.08194,0.75,1,0.115747,0.089348,0.0578734,0.0892292
2.1,0.709112,0.901242,1.09304,0.75,1,0.106888,0.085219,0.0534439,0.0851158
2.15,0.713056,0.908966,1.10397,0.75,1,0.0982449,0.081306,0.0491225,0.0812164
2.2,0.716526,0.915943,1.11424,0.75,1,0.090477,0.0775727,0.0452385,0.0774949
2.25,0.719562,0.922207,1.1239,0.75,1,0.0835353,0.0739429,0.0417676,0.0738756
2.3,0.719562,0.922207,1.1239,0.75,1,0.0835353,0.0739429,0.0417676,0.0738756
2.35,0.722307,0.928008,1.1331,0.75,1,0.0771347,0.0704679,0.0385673,0.0704096
2.4,0.724881,0.933582,1.14203,0.75,1,0.0710095,0.0672006,0.0355047,0.0671501
2.45,0.727196,0.938706,1.15054,0.75,1,0.0653985,0.0640771,0.0326992,0.0640332
2.5,0.727196,0.938706,1.15054,0.75,1,0.0653985,0.0640771,0.0326992,0.0640332
2.55,0.729222,0.943294,1.15857,0.75,1,0.0603929,0.0610106,0.0301964,0.0609728
2.6,0.731169,0.9478,1.16653,0.75,1,0.0554933,0.0580487,0.0277467,0.0580161
2.65,0.732889,0.951869,1.174,0.75,1,0.0510825,0.0552222,0.0255412,0.0551941
2.7,0.734377,0.95546,1.18098,0.75,1,0.0472004,0.052464,0.0236002,0.0524399

Metric,Value
IAE,0.825916
ISE,0.36732
ITAE,0.709131
ITSE,0.21948

Parameter,Value
kv,0.5
vmax,0.15
wmax,1
controller_type,0
