time,xr,yr,theta_r,xt,yt,d,e_theta,v,w
0.05,0.278751,0.524945,5.5384e-05,0.75,1,0.669143,0.789365,0.133829,0.709906
0.1,0.278731,0.524942,-5.58073e-06,0.75,1,0.66916,0.789408,0.133832,0.709936
0.15,0.280258,0.524609,0.0267471,0.75,1,0.668321,0.764628,0.133664,0.692268
0.2,0.298596,0.525434,0.143074,0.75,1,0.654964,0.667333,0.130993,0.618894
0.25,0.298596,0.525434,0.143074,0.75,1,0.654964,0.667333,0.130993,0.618894
0.3,0.317747,0.529178,0.227698,0.75,1,0.639152,0.600383,0.12783,0.564959
0.35,0.336635,0.534352,0.303783,0.75,1,0.622654,0.541024,0.124531,0.515014
0.4,0.354564,0.540682,0.3712,0.75,1,0.606088,0.488797,0.121218,0.469564
0.45,0.371414,0.54786,0.430919,0.75,1,0.58971,0.442791,0.117942,0.428463
0.5,0.371414,0.54786,0.430919,0.75,1,0.58971,0.442791,0.117942,0.428463
0.55,0.387466,0.555809,0.485327,0.75,1,0.573355,0.400949,0.114671,0.390292
0.6,0.402828,0.564433,0.536497,0.75,1,0.556998,0.361355,0.1114,0.353542
0.65,0.417246,0.573493,0.583229,0.75,1,0.540956,0.325027,0.108191,0.319335
0.7,0.417246,0.573493,0.583229,0.75,1,0.540956,0.325027,0.108191,0.319335
0.75,0.43069,0.582789,0.623849,0.75,1,0.525379,0.293698,0.105076,0.289494
0.8,0.443555,0.592443,0.662128,0.75,1,0.509913,0.263948,0.101983,0.260894
0.85,0.443555,0.592443,0.662128,0.75,1,0.509913,0.263948,0.101983,0.260894
0.9,0.455545,0.602122,0.695787,0.75,1,0.494985,0.237898,0.0989971,0.235661
0.95,0.467169,0.612162,0.728121,0.75,1,0.480013,0.212587,0.0960025,0.210989
1,0.478004,0.622115,0.756124,0.75,1,0.465595,0.190791,0.093119,0.189636
1.05,0.478004,0.622115,0.756124,0.75,1,0.465595,0.190791,0.093119,0.189636
1.1,0.488128,0.631915,0.780575,0.75,1,0.451734,0.171857,0.0903467,0.171012
1.15,0.497854,0.641775,0.803316,0.75,1,0.438067,0.154158,0.0876133,0.153548
1.2,0.506933,0.651382,0.823107,0.75,1,0.424989,0.138826,0.0849979,0.13838
